Symbol  ,Date    ,Time  ,Open  ,High    ,Low   ,Closed,,,,,
NIFTY_F1,20150907,11:20,7657.1,7657.1,7653,7653,15775,23546324,,,
NIFTY_F1,20150907,11:21,7654.4,7655.45,7652.95,7654.5,13525,23546324,,,
NIFTY_F1,20150907,11:22,7654.8,7655.45,7649.5,7649.5,22050,23546324,,,
NIFTY_F1,20150907,11:23,7649,7653.65,7648.2,7650.65,18100,23522776,,,
NIFTY_F1,20150907,11:24,7650.9,7651.9,7640.25,7643,53350,23522776,,,
NIFTY_F1,20150907,11:25,7643.35,7644.1,7640,7642.4,23100,23522776,,,
NIFTY_F1,20150907,11:26,7643.9,7644.85,7642.3,7644,13500,23520376,,,
NIFTY_F1,20150907,11:27,7643.05,7647.4,7641.55,7647.4,14175,23520376,,,
NIFTY_F1,20150907,11:28,7647.05,7659,7647.05,7657.65,24625,23520376,,,
NIFTY_F1,20150907,11:29,7659,7659,7647.7,7649.15,16700,23532976,,,
NIFTY_F1,20150907,11:30,7649.6,7654.8,7647.45,7653,10675,23532976,,,
NIFTY_F1,20150907,11:31,7652.55,7657.55,7652,7655.55,11750,23532976,,,
NIFTY_F1,20150907,11:32,7655,7661,7655,7658,12700,23543376,,,
NIFTY_F1,20150907,11:33,7658.5,7660,7657.1,7657.2,6275,23543376,,,
NIFTY_F1,20150907,11:34,7657,7661.45,7656.55,7661.45,11100,23543376,,,
NIFTY_F1,20150907,11:35,7660.05,7662.6,7660,7660.5,7600,23547700,,,
NIFTY_F1,20150907,11:36,7660.5,7661.6,7656.1,7660,8525,23547700,,,
NIFTY_F1,20150907,11:37,7660,7661.75,7657.9,7659.35,5825,23547700,,,
NIFTY_F1,20150907,11:38,7660,7664.95,7659.2,7663.05,29000,23539124,,,
NIFTY_F1,20150907,11:39,7663.05,7664.65,7660.25,7661,22500,23539124,,,
NIFTY_F1,20150907,11:40,7661.05,7664,7659.8,7660.15,10050,23539124,,,
NIFTY_F1,20150907,11:41,7660.15,7660.15,7655,7655.05,17750,23545976,,,
